,date,time,coordinates,sentinel5p
0,2023-11-01,07:47:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.5081893073717927
1,2023-11-01,07:52:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.7194476530729903
2,2023-11-02,07:32:02,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.9238380070318453
3,2023-11-03,07:12:02,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-1.0285274437486271
4,2023-11-04,06:52:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.3264448944613647
5,2023-11-05,06:32:02,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.22497474919263932
6,2023-11-05,06:37:02,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.4505140449049121
7,2023-11-05,08:12:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.029941128985795977
8,2023-11-06,06:17:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.029941128985795977
9,2023-11-06,07:57:02,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.04125735960748702
10,2023-11-07,07:37:03,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.25537364780625105
11,2023-11-08,07:15:43,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",-0.11643383650989923
12,2023-11-08,07:20:42,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.16542377439193257
13,2023-11-09,06:55:42,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.4831489939942028
14,2023-11-09,07:00:42,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.4831489939942028
15,2023-11-10,06:40:42,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",0.8008742135964924
